Orig_ID,Timepoint,Time,uM_Ar,N2_flux_umol_N_m-2_hr-1,O2_flux_umol_O2_m-2_hr-1,Ar_flux_umol_Ar_m-2_hr-1
A04-T1,1,6/18/25 13:53,1.32E+01,21.6,-384.01,1.74E-13
A04-T2,2,6/18/25 18:15,1.32E+01,-53.34,-682.92,1.33E-13
A04-T3,3,6/19/25 9:45,1.32E+01,-323.14,-2236.74,1.33E-13
A23-T1,1,6/18/25 13:53,1.32E+01,31.14,-405.06,9.23E-14
A23-T2,2,6/18/25 18:15,1.32E+01,-33.36,-1300.02,4.10E-14
A23-T3,3,6/19/25 9:45,1.32E+01,-67.58,-2711.36,1.33E-13
B12-T1,1,6/18/25 13:53,1.32E+01,87.02,-1061.93,9.23E-14
B12-T2,2,6/18/25 18:15,1.32E+01,32.65,-710.63,5.13E-14
B12-T3,3,6/19/25 9:45,1.32E+01,-123.76,-1696.33,8.21E-14
B13-T1,1,6/18/25 13:53,1.32E+01,-21.75,-644.67,1.03E-13
B13-T2,2,6/18/25 18:15,1.32E+01,-59.88,-1421.55,3.76E-14
B13-T3,3,6/19/25 9:45,1.32E+01,-84.78,-2047.28,9.23E-14
B15-T1,1,6/18/25 13:53,1.32E+01,-38.52,-1204.3,4.10E-14
B15-T2,2,6/18/25 18:15,1.32E+01,-48.26,-1631.66,1.23E-13
B15-T3,3,6/19/25 9:45,1.32E+01,-180.35,-1952.34,3.08E-14
B24-T1,1,6/18/25 13:53,1.32E+01,18.83,-654.96,7.18E-14
B24-T2,2,6/18/25 18:15,1.32E+01,-32.88,-574.69,5.13E-14
B24-T3,3,6/19/25 9:45,1.32E+01,-189.47,-1553.27,7.18E-14
C16-T1,1,6/18/25 13:53,1.32E+01,-43.87,-1407.13,1.64E-13
C16-T2,2,6/18/25 18:15,1.32E+01,-169.96,-2841.24,8.21E-14
C16-T3,3,6/19/25 9:45,1.32E+01,-637.81,-5196.89,8.21E-14
C17-T1,1,6/18/25 13:53,1.32E+01,-6.85,-1991.09,6.15E-14
C17-T2,2,6/18/25 18:15,1.32E+01,-93.78,-2590.64,1.95E-13
C17-T3,3,6/19/25 9:45,1.32E+01,-92.5,-2527.21,4.10E-14
C18-T1,1,6/18/25 13:53,1.32E+01,-42.15,486.33,6.15E-14
C18-T2,2,6/18/25 18:15,1.32E+01,-59.43,22.53,7.18E-14
C18-T3,3,6/19/25 9:45,1.32E+01,-232.44,-1398.68,2.74E-14
C20-T1,1,6/18/25 13:53,1.32E+01,15.45,-692.1,8.21E-14
C20-T2,2,6/18/25 18:15,1.32E+01,15.38,-1001.04,2.74E-14
C20-T3,3,6/19/25 9:45,1.32E+01,-129.82,-1882.96,8.21E-14
C22-T1,1,6/18/25 13:53,1.32E+01,5.24,-597,3.08E-14
C22-T2,2,6/18/25 18:15,1.32E+01,21.16,-873.14,3.08E-14
C22-T3,3,6/19/25 9:45,1.32E+01,-237.03,-1545.63,3.42E-14
C25-T1,1,6/18/25 13:53,1.32E+01,38.01,-1038.89,9.23E-14
C25-T2,2,6/18/25 18:15,1.32E+01,13.23,-1070.91,2.39E-14
C25-T3,3,6/19/25 9:45,1.32E+01,-99.63,-1592.47,2.39E-14
