Orig_ID,Timepoint,Time,uM_Ar,N2_flux_umol_N_m-2_hr,O2_flux_umol_O2_m-2_hr,Ar_flux_umol_Ar_m-2_hr,Flow_L_hr
A04-T1,1.00,6/18/25 13:53,1.17E+01,-36.84,-383.69,-4.30,0.102
A04-T2,2.00,6/18/25 18:15,1.15E+01,-98.03,-682.67,-7.51,0.078
A04-T3,3.00,6/19/25 9:45,1.14E+01,-100.70,-2237.17,-11.95,0.078
A23-T1,1.00,6/18/25 13:53,1.15E+01,0.20,-404.89,-5.35,0.054
A23-T2,2.00,6/18/25 18:15,1.09E+01,-74.62,-1299.79,-22.53,0.072
A23-T3,3.00,6/19/25 9:45,1.06E+01,-112.28,-2711.11,-30.63,0.078
B12-T1,1.00,6/18/25 13:53,1.15E+01,56.08,-1061.75,-5.10,0.054
B12-T2,2.00,6/18/25 18:15,1.14E+01,15.46,-710.54,-3.93,0.03
B12-T3,3.00,6/19/25 9:45,1.2E+01,13.92,-1696.44,1.71,0.048
B13-T1,1.00,6/18/25 13:53,1.14E+01,-56.13,-644.48,-9.06,0.06
B13-T2,2.00,6/18/25 18:15,1.07E+01,-97.70,-1421.34,-23.52,0.066
B13-T3,3.00,6/19/25 9:45,1.07E+01,-115.72,-2047.10,-20.12,0.054
B15-T1,1.00,6/18/25 13:53,1.12E+01,-79.78,-1204.07,-15.57,0.072
B15-T2,2.00,6/18/25 18:15,1.07E+01,-89.52,-1631.43,-26.28,0.072
B15-T3,3.00,6/19/25 9:45,1.09E+01,-25.90,-1952.44,-15.82,0.054
B24-T1,1.00,6/18/25 13:53,1.13E+01,-5.24,-654.82,-7.70,0.042
B24-T2,2.00,6/18/25 18:15,1.09E+01,-50.07,-574.60,-8.89,0.03
B24-T3,3.00,6/19/25 9:45,1.09E+01,-69.86,-1553.34,-12.60,0.042
C16-T1,1.00,6/18/25 13:53,1.13E+01,-98.88,-1406.82,-17.44,0.096
C16-T2,2.00,6/18/25 18:15,1.09E+01,-252.46,-2840.78,-43.95,0.144
C16-T3,3.00,6/19/25 9:45,1.09E+01,-227.60,-5197.18,-45.34,0.144
C17-T1,1.00,6/18/25 13:53,1.11E+01,-68.73,-1990.75,-26.89,0.108
C17-T2,2.00,6/18/25 18:15,1.08E+01,-159.10,-2590.27,-37.40,0.114
C17-T3,3.00,6/19/25 9:45,1.12E+01,115.00,-2527.39,-15.79,0.072
C18-T1,1.00,6/18/25 13:53,1.2E+01,-62.78,486.44,1.76,0.036
C18-T2,2.00,6/18/25 18:15,1.14E+01,-83.50,22.67,-5.43,0.042
C18-T3,3.00,6/19/25 9:45,1.1E+01,-95.91,-1398.93,-13.48,0.048
C20-T1,1.00,6/18/25 13:53,1.13E+01,-12.05,-691.94,-8.02,0.048
C20-T2,2.00,6/18/25 18:15,1.12E+01,-12.12,-1000.88,-10.24,0.048
C20-T3,3.00,6/19/25 9:45,1.13E+01,7.79,-1882.98,-8.08,0.048
C22-T1,1.00,6/18/25 13:53,1.13E+01,-25.70,-596.82,-8.79,0.054
C22-T2,2.00,6/18/25 18:15,1.13E+01,-9.78,-872.96,-9.31,0.054
C22-T3,3.00,6/19/25 9:45,1.17E+01,-65.81,-1546.05,-3.32,0.06
C25-T1,1.00,6/18/25 13:53,1.12E+01,7.07,-1038.71,-10.31,0.054
C25-T2,2.00,6/18/25 18:15,1.11E+01,-10.83,-1070.78,-10.66,0.042
C25-T3,3.00,6/19/25 9:45,1.16E+01,20.92,-1592.52,-2.65,0.042
