MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260707,NC,0.00,100.00,99.09,82.30,49.78,6.19,2026-07-07,2026-07-13,1
20260630,NC,0.00,100.00,99.11,80.90,42.02,6.62,2026-06-30,2026-07-06,1
20260623,NC,0.00,100.00,100.00,90.44,45.19,7.02,2026-06-23,2026-06-29,1
20260616,NC,0.00,100.00,100.00,90.45,46.44,7.02,2026-06-16,2026-06-22,1
20260609,NC,0.00,100.00,100.00,89.79,36.82,3.01,2026-06-09,2026-06-15,1
20260602,NC,0.00,100.00,100.00,87.48,31.40,0.00,2026-06-02,2026-06-08,1
20260526,NC,0.00,100.00,100.00,93.82,36.64,0.00,2026-05-26,2026-06-01,1
20260519,NC,0.00,100.00,100.00,96.86,65.05,3.48,2026-05-19,2026-05-25,1
20260512,NC,0.00,100.00,100.00,95.55,59.47,0.00,2026-05-12,2026-05-18,1
20260505,NC,0.00,100.00,100.00,95.55,60.76,1.04,2026-05-05,2026-05-11,1
20260428,NC,0.00,100.00,100.00,95.54,54.87,1.04,2026-04-28,2026-05-04,1
20260421,NC,0.00,100.00,100.00,95.54,38.11,0.00,2026-04-21,2026-04-27,1
20260414,NC,0.00,100.00,100.00,95.04,22.28,0.00,2026-04-14,2026-04-20,1
20260407,NC,0.00,100.00,100.00,93.79,16.70,0.00,2026-04-07,2026-04-13,1
20260331,NC,0.00,100.00,100.00,89.40,9.64,0.00,2026-03-31,2026-04-06,1
20260324,NC,0.00,100.00,100.00,65.51,4.71,0.00,2026-03-24,2026-03-30,1
20260317,NC,0.00,100.00,100.00,65.56,4.25,0.00,2026-03-17,2026-03-23,1
20260310,NC,0.00,100.00,100.00,70.16,4.25,0.00,2026-03-10,2026-03-16,1
20260303,NC,0.00,100.00,100.00,69.99,4.25,0.00,2026-03-03,2026-03-09,1
20260224,NC,0.00,100.00,100.00,86.71,5.21,0.00,2026-02-24,2026-03-02,1
20260217,NC,0.00,100.00,98.12,75.79,5.21,0.00,2026-02-17,2026-02-23,1
20260210,NC,0.00,100.00,98.12,68.12,2.13,0.00,2026-02-10,2026-02-16,1
