Sample ID,Teatment,Tin_mass,Tin_plus_soil,Tin_plus_dry_soil,Date_sampled
CNH2_MRW_01_pre,pre,2.32,28.8,12.04,27-Apr-26
CNH2_MRW_04_pre,pre,2.32,28.34,18.56,27-Apr-26
CNH2_MRW_07_pre,pre,2.34,28.32,9.96,27-Apr-26
CNH2_MRW_10_pre,pre,2.3,28.26,15.56,27-Apr-26
CNH2_MRW_13_pre,pre,2.34,28.8,12.46,27-Apr-26
CNH2_MRW_16_pre,pre,2.34,28.46,15,27-Apr-26
CNH2_MRW_19_pre,pre,2.28,28.38,6.74,27-Apr-26
CNH2_MRW_22_pre,pre,2.32,28.52,18.34,27-Apr-26
CNH2_MRW_25_pre,pre,2.3,28.16,13,27-Apr-26
CNH2_MRW_28_pre,pre,2.3,27.42,14.26,27-Apr-26
CNH2_MRW_31_pre,pre,2.24,28.62,8.26,27-Apr-26
