Orig ID,Timepoint,Time,uM Ar,N2 flux (umol N m-2 hr-1),O2 flux (umol O2 m-2 hr-1),Ar flux (umol Ar m-2 hr-1)
A01-T1,1.00,6/11/25 15:57,1.50E-15,60.05,-61.48,7.24E-16
A01-T2,2.00,6/12/25 8:59,1.39E-15,64.82,-984.02,-6.88E-16
A01-T3,3.00,6/12/25 13:57,1.37E-15,84.64,-1319.94,-1.07E-15
A02-T1,1.00,6/11/25 15:57,1.50E-15,114.30,503.36,2.08E-15
A02-T2,2.00,6/12/25 8:59,1.36E-15,140.57,-2320.98,-2.54E-15
A02-T3,3.00,6/12/25 13:57,1.34E-15,7.15,-1292.33,-1.58E-15
A03-T1,1.00,6/11/25 15:57,1.48E-15,52.52,284.73,1.39E-15
A03-T2,2.00,6/12/25 8:59,1.39E-15,5.64,-538.67,-5.93E-16
A03-T3,3.00,6/12/25 13:57,1.37E-15,-11.35,-682.52,-1.08E-15
A05-T1,1.00,6/11/25 15:57,1.52E-15,-233.55,2051.24,3.75E-15
A05-T2,2.00,6/12/25 8:59,1.39E-15,38.22,-571.10,-8.65E-16
A05-T3,3.00,6/12/25 13:57,1.36E-15,-30.24,-882.81,-1.64E-15
A06-T1,1.00,6/11/25 15:57,1.50E-15,130.52,438.79,1.51E-15
A06-T2,2.00,6/12/25 8:59,1.41E-15,50.19,-284.75,-1.93E-16
A06-T3,3.00,6/12/25 13:57,1.38E-15,47.76,-531.97,-7.49E-16
A07-T1,1.00,6/11/25 15:57,1.50E-15,13.83,1335.70,2.11E-15
A07-T2,2.00,6/12/25 8:59,1.38E-15,-9.30,-350.38,-7.27E-16
A07-T3,3.00,6/12/25 13:57,1.36E-15,-42.10,-459.17,-1.25E-15
B08-T1,1.00,6/11/25 15:57,1.50E-15,84.44,106.91,9.79E-16
B08-T2,2.00,6/12/25 8:59,1.39E-15,-10.74,-839.16,-4.00E-16
B08-T3,3.00,6/12/25 13:57,1.37E-15,-19.04,-1095.65,-7.50E-16
B09-T1,1.00,6/11/25 15:57,1.54E-15,201.48,534.05,2.47E-15
B09-T2,2.00,6/12/25 8:59,1.41E-15,35.12,-687.95,-2.76E-16
B09-T3,3.00,6/12/25 13:57,1.38E-15,70.89,-1129.97,-9.38E-16
B10-T1,1.00,6/11/25 15:57,1.50E-15,33.95,555.34,1.89E-15
B10-T2,2.00,6/12/25 8:59,1.40E-15,3.77,-440.63,-3.50E-16
B10-T3,3.00,6/12/25 13:57,1.37E-15,-8.63,-785.85,-9.15E-16
B11-T1,1.00,6/11/25 15:57,1.55E-15,77.78,309.32,1.73E-15
B11-T2,2.00,6/12/25 8:59,1.43E-15,12.99,-698.77,8.90E-17
B11-T3,3.00,6/12/25 13:57,1.43E-15,-19.85,-965.74,8.37E-17
